method,sample_size,seed,leaf,calibrated_leaf_value
llm_rule_small_hist_calibrated_n100,100,20270621,large_multi_vehicle,14.468613802429104
llm_rule_small_hist_calibrated_n100,100,20270621,multi_worker_multi_vehicle,10.519919831312798
llm_rule_small_hist_calibrated_n100,100,20270621,nonworker_other,8.73766868611116
llm_rule_small_hist_calibrated_n100,100,20270621,urban_nonworker,9.872696239943162
llm_rule_small_hist_calibrated_n100,100,20270621,worker_vehicle_household,8.760290194635523
llm_rule_small_hist_calibrated_n100,100,20270622,carless_nonworker,10.388103253335617
llm_rule_small_hist_calibrated_n100,100,20270622,large_low_vehicle,10.79316712407556
llm_rule_small_hist_calibrated_n100,100,20270622,large_multi_vehicle,15.782099387064735
llm_rule_small_hist_calibrated_n100,100,20270622,multi_worker_multi_vehicle,10.255817185263414
llm_rule_small_hist_calibrated_n100,100,20270622,nonworker_other,9.512516497905052
llm_rule_small_hist_calibrated_n100,100,20270622,urban_nonworker,10.767868085303865
llm_rule_small_hist_calibrated_n100,100,20270622,worker_vehicle_household,10.313398047040522
llm_rule_small_hist_calibrated_n100,100,20270623,carless_nonworker,7.866083083681653
llm_rule_small_hist_calibrated_n100,100,20270623,carless_worker,7.864555533862983
llm_rule_small_hist_calibrated_n100,100,20270623,large_low_vehicle,8.168375571845187
llm_rule_small_hist_calibrated_n100,100,20270623,large_multi_vehicle,9.316870370519274
llm_rule_small_hist_calibrated_n100,100,20270623,multi_worker_multi_vehicle,9.272140710737874
llm_rule_small_hist_calibrated_n100,100,20270623,nonworker_other,6.385949070033119
llm_rule_small_hist_calibrated_n100,100,20270623,urban_nonworker,7.072853113065387
llm_rule_small_hist_calibrated_n100,100,20270623,worker_vehicle_household,6.223411662703742
llm_rule_small_hist_calibrated_n100,100,20270624,carless_nonworker,6.683730785052352
llm_rule_small_hist_calibrated_n100,100,20270624,carless_worker,7.204484415252213
llm_rule_small_hist_calibrated_n100,100,20270624,large_low_vehicle,7.494022096021262
llm_rule_small_hist_calibrated_n100,100,20270624,large_multi_vehicle,9.093603829587657
llm_rule_small_hist_calibrated_n100,100,20270624,multi_worker_multi_vehicle,7.49745687117578
llm_rule_small_hist_calibrated_n100,100,20270624,nonworker_other,8.033724978927923
llm_rule_small_hist_calibrated_n100,100,20270624,urban_nonworker,6.672804235802361
llm_rule_small_hist_calibrated_n100,100,20270624,worker_vehicle_household,8.312628313671837
llm_rule_small_hist_calibrated_n100,100,20270625,carless_nonworker,7.861698773411673
llm_rule_small_hist_calibrated_n100,100,20270625,carless_worker,8.743260509951709
llm_rule_small_hist_calibrated_n100,100,20270625,large_low_vehicle,8.983985211976156
llm_rule_small_hist_calibrated_n100,100,20270625,large_multi_vehicle,16.775136859608573
llm_rule_small_hist_calibrated_n100,100,20270625,multi_worker_multi_vehicle,7.445614917432394
llm_rule_small_hist_calibrated_n100,100,20270625,nonworker_other,9.72959365936697
llm_rule_small_hist_calibrated_n100,100,20270625,urban_nonworker,6.798178899157656
llm_rule_small_hist_calibrated_n100,100,20270625,worker_vehicle_household,5.978702775685575
llm_rule_small_hist_calibrated_n100,100,20270626,carless_nonworker,5.2603824594744975
llm_rule_small_hist_calibrated_n100,100,20270626,carless_worker,6.476978137609117
llm_rule_small_hist_calibrated_n100,100,20270626,large_low_vehicle,7.048406709037688
llm_rule_small_hist_calibrated_n100,100,20270626,large_multi_vehicle,7.616125710926319
