method,seed,calibration_fraction,calibration_rows,test_rows,mae,rmse,bias,r2,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,weighted_target_mean,weighted_prediction_mean,device
random_trip_suppression_a0p75,45,0.0,0,7893,2.7390695742054705,3.7191382625500204,0.7298946771506316,0.17608434804560502,2.8761239379150996,3.8493514701072122,1.0554491689103116,0.14210533066029718,3.831913682179956,4.887362851090268,cuda
random_recovery_pressure_a0p75,46,0.0,0,7893,2.8966482773485795,3.8207457145782557,1.2451137986688718,0.13045036999201975,3.0758207472603774,4.009141845215664,1.5892457536130373,0.06940293192720581,3.831913682179956,5.421159435792993,cuda
random_trip_suppression_a0p75,46,0.0,0,7893,2.728603425612396,3.705853190362305,0.7382567565363805,0.18196002597080874,2.878190184400675,3.8517191006339617,1.0756938136085261,0.14104967113714617,3.831913682179956,4.907607495788482,cuda
random_recovery_pressure_a1,42,0.0,0,7893,2.670990471144316,3.654631576020369,0.6001137393821709,0.2044173386285667,2.792124167978085,3.764629413260571,0.9194050851368708,0.1794533099011858,3.831913682179956,4.751318767316827,cuda
random_trip_suppression_a1,42,0.0,0,7893,2.5974664307450155,3.703340297096767,-0.08313013638499173,0.1830690554340143,2.6690353994487634,3.7659836650265954,0.20806402469264973,0.178862852486543,3.831913682179956,4.039977706872606,cuda
random_recovery_pressure_a1,43,0.0,0,7893,2.6911631613747224,3.6863232829386345,0.6016570129230262,0.1905594747918744,2.8216996850271916,3.808796552897943,0.9273078684817259,0.16008683869692542,3.831913682179956,4.759221550661682,cuda
random_trip_suppression_a1,43,0.0,0,7893,2.577716454398144,3.6682733709145934,-0.0815355727338192,0.19846684468090503,2.6446593356016037,3.712373668778545,0.19714593985585688,0.2020747596851794,3.831913682179956,4.029059622035813,cuda
random_recovery_pressure_a1,44,0.0,0,7893,2.681668813000635,3.6703267878723356,0.6055083345024077,0.19756923304149776,2.8098594766616154,3.7946984278867446,0.9303167580659394,0.16629314858546274,3.831913682179956,4.7622304402458955,cuda
random_trip_suppression_a1,44,0.0,0,7893,2.588299801101042,3.6849709318697235,-0.08489954779088588,0.19115326263208632,2.661991317693366,3.7409006734755192,0.2083484649772857,0.18976464450084085,3.831913682179956,4.040262147157242,cuda
random_recovery_pressure_a1,45,0.0,0,7893,2.691507398289562,3.6784712433756495,0.6032611921178023,0.19400409400172436,2.8240509857366534,3.808318083505191,0.9328808414112766,0.16029784891634968,3.831913682179956,4.764794523591233,cuda
random_trip_suppression_a1,45,0.0,0,7893,2.597129108642091,3.7000791085284552,-0.08200564201530895,0.18450721266608427,2.6656310136762653,3.749833904002807,0.2055376555021923,0.18589035753065453,3.831913682179956,4.037451337682148,cuda
random_recovery_pressure_a1,46,0.0,0,7893,2.6773749453882023,3.6602375299575063,0.6049531866756777,0.20197472829879537,2.8013617618649955,3.780704536917016,0.9172664351058268,0.1724308119003637,3.831913682179956,4.749180117285783,cuda
random_trip_suppression_a1,46,0.0,0,7893,2.5838835071094675,3.6744113413973034,-0.07085620283431061,0.19578225583565856,2.6659763967486345,3.7394349299777154,0.23253051509981168,0.19039944592865554,3.831913682179956,4.064444197279768,cuda
random_recovery_pressure_a1p25,42,0.0,0,7893,2.55561517772605,3.632154040504483,-0.04125673443439969,0.21417358570443312,2.627138197221863,3.676607165938856,0.24796042913742122,0.21737576105022072,3.831913682179956,4.079874111317378,cuda
random_trip_suppression_a1p25,42,0.0,0,7893,2.646714182643402,3.9055604178902597,-0.8936984948055927,0.09141654017366951,2.662678536676841,3.9146845946526274,-0.6398002620226465,0.11273696298712355,3.831913682179956,3.19211342015731,cuda
random_recovery_pressure_a1p25,43,0.0,0,7893,2.5786863110951885,3.670976946748763,-0.03932764250833055,0.19728492391948016,2.6570117021319124,3.730684534510329,0.25783890831849,0.19418399433206335,3.831913682179956,4.0897525904984455,cuda
random_trip_suppression_a1p25,43,0.0,0,7893,2.6198255733174696,3.863773964267106,-0.8916307679158147,0.11075480187487785,2.625859468748945,3.851622577840753,-0.6526330010486916,0.14109272061400402,3.831913682179956,3.1792806811312646,cuda
random_recovery_pressure_a1p25,44,0.0,0,7893,2.566525203104212,3.648085944595397,-0.0345134905341036,0.20726464470080574,2.6422596295219134,3.7085822794584677,0.26160002029875695,0.20370374463456364,3.831913682179956,4.093513702478713,cuda
random_trip_suppression_a1p25,44,0.0,0,7893,2.6360417598065324,3.884799870069561,-0.8960308948646674,0.10105026989802679,2.651116144891887,3.8801423484429423,-0.6392687776073306,0.1283258779811206,3.831913682179956,3.1926449045726253,cuda
random_recovery_pressure_a1p25,45,0.0,0,7893,2.5750568159340066,3.6601168377443996,-0.037322418514860595,0.20202735540150185,2.6531175946804,3.7265138703016767,0.26480512448042837,0.19598468767434285,3.831913682179956,4.096718806660384,cuda
random_trip_suppression_a1p25,45,0.0,0,7893,2.642490759391862,3.9006797046355834,-0.8923346186581332,0.09368600420904405,2.6530227081740283,3.893326442730933,-0.6429847679343982,0.12239219970209148,3.831913682179956,3.188928914245558,cuda
random_recovery_pressure_a1p25,46,0.0,0,7893,2.5625895352294252,3.6357449166964813,-0.03520742531751626,0.2126190259588715,2.636180716416676,3.6955718788281002,0.24528711659861627,0.20928105686888054,3.831913682179956,4.0772007987785726,cuda
random_trip_suppression_a1p25,46,0.0,0,7893,2.6215064282828404,3.8610241812605235,-0.878402986697004,0.11202007320910645,2.640209268116592,3.8638250286280584,-0.6091147354121865,0.13564183552044018,3.831913682179956,3.2227989467677696,cuda
